training_step,0,1,2,3,4
1490686,463,239,119,346,340
1494546,463,239,119,346,340
1498534,463,239,119,346,340
1502460,453,239,119,346,340
1506613,453,239,119,346,340
1510576,453,239,119,346,340
1514609,453,239,119,346,340
1518615,453,239,119,346,340
1522436,453,239,119,346,340
1526325,453,239,119,346,340
1530223,443,239,119,346,340
1534271,443,239,119,346,340
1538081,443,239,119,346,340
1542094,443,239,119,346,340
1545948,443,239,119,346,340
1549866,433,239,119,346,340
1553651,433,239,119,346,340
1557467,433,239,119,346,340
1561311,433,239,119,346,340
1565005,423,239,119,346,340
1568871,423,239,119,346,340
1572822,423,239,119,346,340
1576697,413,239,119,346,340
1580802,413,239,119,346,340
1584839,413,239,119,346,340
1588957,413,239,119,346,340
1593122,403,239,119,346,340
1597233,403,239,119,346,340
1601371,403,239,119,346,340
1605516,403,239,119,346,340
1609598,403,239,119,346,340
1613697,403,239,119,346,340
1617818,403,239,119,346,340
1621881,403,239,119,346,340
1625968,403,239,119,346,340
1630057,403,239,119,346,340
1634147,403,239,119,346,340
1638323,403,239,119,346,340
1642413,403,239,119,346,340
1646533,403,239,119,346,340
1650621,393,239,119,346,340
1654783,393,239,119,346,340
1658911,393,239,119,346,340
1663073,393,239,119,346,340
1667241,393,239,119,346,340
1671329,393,239,119,346,340
1675763,383,239,119,346,340
1679839,383,239,119,346,340
1683850,383,239,119,346,340
1687934,383,239,119,346,340
1692111,383,239,119,346,340
1696278,383,239,119,346,340
1700364,373,239,119,346,340
1704454,373,239,119,346,340
1708569,373,239,119,346,340
1712538,373,239,119,346,340
1716548,363,239,119,346,340
1720349,363,239,119,346,340
1724120,363,239,119,346,340
1727966,363,239,119,346,340
1731936,353,239,119,346,340
1735955,353,239,109,346,340
1740084,353,239,109,346,340
1744153,353,239,109,346,340
1748228,353,239,109,346,340
1752486,353,239,109,346,340
1756587,353,239,109,346,340
1760742,343,239,109,346,340
1764936,343,239,109,346,340
1769175,343,239,109,346,330
1773506,343,239,109,336,330
1777895,343,239,109,336,330
1782239,333,239,109,336,330
1786573,333,239,109,336,330
1790776,333,239,109,336,330
1794973,333,239,109,336,330
1799079,333,239,109,336,330
1803255,323,239,109,336,320
1807631,323,239,109,336,320
1811997,323,239,109,336,320
1816208,323,239,109,336,320
1820741,323,239,109,336,320
1825062,323,239,109,336,320
1829527,313,239,109,336,320
1833973,313,239,109,336,320
1838299,313,239,109,336,320
1842549,313,239,109,336,320
1846834,303,239,109,336,320
1850957,303,239,109,336,320
1855210,303,239,109,336,320
1859536,303,239,109,336,320
1863866,293,239,109,336,320
1868508,293,239,109,336,320
1872933,293,239,109,336,320
